section,title,practice_areas_pipe,priority,official_url
2923.42,Participating in criminal gang,Criminal Defense | Weapons Charges,P1,https://codes.ohio.gov/ohio-revised-code/section-2923.42
2923.43,Property used or occupied by a criminal gang,Criminal Defense | Weapons Charges,P1,https://codes.ohio.gov/ohio-revised-code/section-2923.43
2923.44,Criminal forfeiture of property relating to gang participation,Criminal Defense | Weapons Charges,P1,https://codes.ohio.gov/ohio-revised-code/section-2923.44
2925.01,Drug offense definitions,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.01
2925.02,Corrupting another with drugs,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.02
2925.03,"Trafficking, aggravated trafficking in drugs",Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.03
2925.04,Illegal manufacture of drugs - illegal cultivation of marihuana - methamphetamine offenses,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.04
2925.041,Illegal assembly or possession of chemicals for manufacture of drugs,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.041
2925.05,"Funding, aggravated funding of drug or marihuana trafficking",Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.05
2925.06,Illegal administration or distribution of anabolic steroids,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.06
2925.09,Unapproved drugs - dangerous drug offenses involving livestock,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.09
2925.11,Possession of controlled substances,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.11
2925.12,Possessing drug abuse instruments,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.12
2925.13,Permitting drug abuse,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.13
2925.14,Illegal use or possession of drug paraphernalia,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.14
2925.141,Illegal use or possession of marihuana drug paraphernalia,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.141
2925.22,Deception to obtain a dangerous drug,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.22
2925.23,Illegal processing of drug documents,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.23
2925.24,Tampering with drugs,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.24
2925.31,Abusing harmful intoxicants,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.31
2925.32,Trafficking in harmful intoxicants - improperly dispensing or distributing nitrous oxide,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.32
2925.33,Possessing nitrous oxide in motor vehicle,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.33
2925.34,Sale of pure caffeine product,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.34
2925.36,Illegal dispensing of drug samples,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.36
2925.37,Counterfeit controlled substance offenses,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.37
2925.38,Notice of conviction of professionally licensed person sent to regulatory or licensing board or agency,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.38
2925.42,Criminal forfeiture of property relating to felony drug abuse offense,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.42
2925.50,Conviction or acquittal under federal drug abuse control laws bar to state prosecution,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.50
2925.51,Evidence in drug offense cases,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.51
2925.511,Reimbursement for costs of positive drug tests,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.511
2925.52,Motion for destruction of chemicals for methamphetamine production,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.52
2925.55,Unlawful purchase of pseudoephedrine or ephedrine product,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.55
2925.56,Unlawful sale of pseudoephedrine or ephedrine product,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.56
2925.57,Illegal pseudoephedrine or ephedrine product transaction scan,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.57
2925.58,Unlawful sale of pseudoephedrine product to minor - affirmative defense,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.58
2925.62,Illegally selling dextromethorphan,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.62
2925.64,Immunity for administering epinephrine,Criminal Defense | Drug Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2925.64
2927.01,Abuse of a corpse,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.01
2927.02,Illegal distribution of or permitting children to use cigarettes or other tobacco or alternative nicotine products,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.02
2927.021,Engaging in illegal tobacco or alternative nicotine product transaction scan,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.021
2927.022,"Affirmative defense to cigarette, tobacco or alternative nicotine product charge",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.022
2927.023,Unlawful transportation of tobacco products,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.023
2927.024,Furnishing false information; penalty,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.024
2927.03,"Injure, intimidate, or interfere with fair housing rights",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.03
2927.11,Desecration,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.11
2927.12,Ethnic intimidation,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.12
2927.13,Selling or donating contaminated blood,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.13
2927.15,Privilege or consent to collect bodily substance,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.15
2927.17,Advertising of massage services,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.17
2927.21,Receiving proceeds of an offense subject to forfeiture proceedings,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.21
2927.22,"Soliciting or accepting a fee to remove, correct, modify, or refrain from publishing criminal record information; violation",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.22
2927.24,"Contaminating substance for human consumption or use or contamination with hazardous chemical, biological, or radioactive substance - spreading false report of contamination",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.24
2927.27,Illegal bail bond agent practices,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2927.27
2929.01,Penalties and sentencing general definitions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.01
2929.02,Murder penalties,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.02
2929.021,Notice to supreme court of indictment charging aggravated murder with aggravating circumstances,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.021
2929.022,Sentencing hearing - determining existence of aggravating circumstance,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.022
2929.023,Raising the matter of age at trial,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.023
2929.024,Investigation services and experts for indigent defendant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.024
2929.025,Sentencing for aggravated murder when offender had serious mental illness at time of offense,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.025
2929.03,Imposition of sentence for aggravated murder,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.03
2929.04,Death penalty or imprisonment - aggravating and mitigating factors,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.04
2929.05,Supreme court review upon appeal of sentence of death,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.05
2929.06,Resentencing hearing,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.06
2929.07,No sentence of life imprisonment without parole for offense committed when a minor,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.07
2929.11,Purposes of felony sentencing,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.11
2929.12,Seriousness of crime and recidivism factors,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.12
2929.13,Sanction imposed by degree of felony,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.13
2929.14,Definite prison terms,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.14
2929.141,Person on release committing a felony,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.141
2929.142,Aggravated vehicular homicide - mandatory prison term,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.142
2929.143,Risk reduction sentences,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.143
2929.144,Determination of maximum prison term for qualifying felonies of the first or second degree,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.144
2929.15,Community control sanctions; felony,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.15
2929.16,Community residential sanctions - felony,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.16
2929.17,Nonresidential sanctions - felony,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.17
2929.18,Financial sanctions - felony,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.18
2929.19,Sentencing hearing,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.19
2929.191,Correction of judgment of conviction to include supervision information,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.191
2929.192,Forfeiture of retirement benefits on conviction,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.192
2929.193,"Offenses while serving in a position of honor, trust, or profit; hearing; recovery of benefits",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.193
2929.194,Offenders under physical or mental disability; forfeiture,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.194
2929.20,Sentence reduction through judicial release,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.20
2929.201,Application for shock probation,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.201
2929.21,Purposes of misdemeanor sentencing,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.21
2929.22,Determining appropriate sentence for misdemeanors,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.22
2929.23,Sentence for sexually oriented misdemeanor committed on or after 1-1-97,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.23
2929.24,Definite jail terms for misdemeanors,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.24
2929.25,Community control sanctions - misdemeanor,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.25
2929.26,Community residential sanctions - misdemeanor,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.26
2929.27,Nonresidential sanctions - misdemeanor,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.27
2929.28,Financial sanctions - misdemeanor,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.28
2929.281,Restitution,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.281
2929.31,Fines for organizations by degree of offense,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.31
2929.32,Additional fines for certain offenses,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.32
2929.33,Driver's license suspension for drug offenses,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.33
2929.34,Where imprisonment to be served,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.34
2929.36,Confinement costs definitions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.36
2929.37,Confinement cost policy,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.37
2929.38,Reception and other fees,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.38
2929.41,Concurrent and consecutive sentences,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.41
2929.42,Notice of conviction sent to licensing board,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.42
2929.43,Procedure for accepting peace officer's guilty plea to felony or after conviction; negotiated misdemeanor pleas,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.43
2929.44,Court-ordered to receive mental health evaluations; reports to local law enforcement agencies,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.44
2929.61,Sentencing under prior law,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.61
2929.71,Reimbursement of investigative costs of arson,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2929.71
2930.01,Definitions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.01
2930.011,Constitutional rights of crime victims,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.011
2930.02,Victim's representative,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.02
2930.03,Methods of giving notice,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.03
2930.04,Information provided to victim by law enforcement agency,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.04
2930.041,Victim right to interpreter,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.041
2930.042,Notice for inactive cases,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.042
2930.044,Self identification by victim,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.044
2930.05,Notice of arrest or detention of offender,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.05
2930.051,Custodial agency notification of law enforcement agency,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.051
2930.06,Prosecutor to confer with victim - court to give notice of proceedings to victim,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.06
2930.061,Notice of charges to department of developmental disabilities,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.061
2930.062,Notification of victim's injuries,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.062
2930.063,Copies of case documents,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.063
2930.07,Privacy of victim's information,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.07
2930.072,Victim interviews,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.072
2930.08,Notification of substantial delay in prosecution; victim objection to delay,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.08
2930.09,Victim's presence at trial,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.09
2930.10,Minimizing contact between victim and defendant - separate waiting areas,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.10
2930.11,Returning or retaining victim's property,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.11
2930.12,Notice of the defendant's acquittal or conviction,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.12
2930.121,Victims rights on dismissed counts,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.121
2930.13,Victim impact statement,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.13
2930.131,Presentence investigation report copies,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.131
2930.14,Victim's statement,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.14
2930.15,Notice of appeal,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.15
2930.16,Notice of incarceration and release date,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.16
2930.161,Victim notice,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.161
2930.162,"Notice prior to pardon, commutation of sentence, or reprieve for offense of violence",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.162
2930.17,Statement of victim prior to judicial release or early release,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.17
2930.171,Victim rights prior to sealing or expunging records,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.171
2930.18,No employee discipline for court attendance necessary to protect rights of victim,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.18
2930.19,Victim standing to assert rights or challenge denial of rights; right to appeal,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.19
2930.191,Pro se victims and victims' attorneys served notices same as parties,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.191
2930.20,Protects victim from reimbursing law enforcement costs,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2930.20
2931.01,Definitions pertaining to jurisdiction and venue,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.01
2931.02,Criminal jurisdiction - county courts,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.02
2931.03,Criminal jurisdiction - common pleas courts,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.03
2931.04,Criminal jurisdiction - municipal courts,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.04
2931.06,Special constables,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.06
2931.07,Return of recognizances,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.07
2931.15,New trial,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.15
2931.18,Employment of attorneys by humane society,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.18
2931.29,Change of venue procedure,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.29
2931.30,Change of venue - transfer of accused,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.30
2931.31,Change of venue - costs and expenses,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2931.31
2933.01,Peace and search warrant definitions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.01
2933.02,Warrant to keep the peace,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.02
2933.03,Warrant to keep the peace - form,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.03
2933.04,Warrant to keep the peace - hearing,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.04
2933.05,"Warrant to keep the peace - disposition, bond, costs",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.05
2933.06,Warrant to keep the peace - appeal,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.06
2933.07,Warrant to keep the peace - failure to prosecute appeal,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.07
2933.08,Warrant to keep the peace - hearing on appeal,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.08
2933.09,Warrant to keep the peace - failure to enter into bond,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.09
2933.10,Warrant to keep the peace - acts committed in presence of court,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.10
2933.21,Issuance of search warrants,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.21
2933.22,Probable cause for search warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.22
2933.23,Search warrant affidavit,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.23
2933.231,Waiving the statutory precondition for nonconsensual entry,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.231
2933.24,Contents of search warrant - report of physical conditions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.24
2933.241,Return and inventory of property,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.241
2933.25,Form of search warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.25
2933.26,Seized property to be kept by court,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.26
2933.27,Keeping of seized property until trial,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.27
2933.29,Gambling or gaming property seized liable for fines,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.29
2933.30,Search for dead human bodies,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.30
2933.31,Search in case of animal law violations,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.31
2933.32,"Body cavity search, strip search - conducting unauthorized search - failure to prepare proper search report",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.32
2933.33,Search of premises for illegal manufacture of methamphetamine,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.33
2933.51,"Wiretapping, electronic surveillance definitions",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.51
2933.52,"Interception of wire, oral or electronic communications",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.52
2933.521,Divulging content of electronic communications service,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.521
2933.522,Interception warrants,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.522
2933.523,Electronic search warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.523
2933.53,Application for interception warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.53
2933.54,Findings for issuing interception warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.54
2933.55,Application for extension of interception warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.55
2933.56,Contents - sealing application - disclosure - retention,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.56
2933.57,"Oral order for interception without warrant of wire, oral, or electronic communication",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.57
2933.58,Prosecutor's instructions to investigative officers,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.58
2933.581,"Information, facilities or technical assistance to officer intercepting communications",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.581
2933.59,Executing interception warrant or oral order,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.59
2933.591,Giving warning of possible surveillance,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.591
2933.60,"Reports of interception warrants by judges and prosecutors,",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.60
2933.61,Serving inventory of interception warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.61
2933.62,"Receiving evidence from intercepted wire, oral, or electronic communication",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.62
2933.63,"Motion to suppress evidence from intercepted wire, oral, or electronic communication",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.63
2933.64,Training in legal and technical aspects of wiretapping and electronic surveillance,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.64
2933.65,Civil and criminal actions for wiretapping and electronic surveillance violations,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.65
2933.66,Conform proceedings or issuance of order to federal and state constitutions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.66
2933.75,Medicaid fraud lien notice,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.75
2933.76,Application for pen register or trap and trace device to obtain information in connection with criminal investigation,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.76
2933.77,"Information, facilities or technical assistance to officer as to installation and use of a pen register or a trap and trace device",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.77
2933.81,Electronic recording during custodial interrogation,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.81
2933.82,Retention of biological evidence,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.82
2933.821,Annual summary report on sexual assault examination kits,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.821
2933.83,Administration of photo or live lineups,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.83
2933.831,Rules and regulations regarding lineups and showups; jury instructions,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2933.831
2935.01,"Arrest, citation, and disposition alternatives definitions",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.01
2935.011,Officer or employee of bureau of criminal identification and investigation included as peace officer,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.011
2935.02,Accused may be arrested in any county,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.02
2935.03,Authority to arrest without warrant - pursuit outside jurisdiction,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.03
2935.031,Motor vehicle pursuit policy,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.031
2935.032,Written policy and procedure for responding to domestic violence incidents or protection order violations,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.032
2935.033,Peace officer may assist federal officer under Patriot Act,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.033
2935.04,When any person may arrest,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.04
2935.041,"Detention and arrest of shoplifters - detention of persons in library, museum, or archival institution",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.041
2935.05,Filing affidavit where arrest without warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.05
2935.06,Private person making arrest,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.06
2935.07,Person arrested without warrant shall be informed of cause of arrest,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.07
2935.08,Issuance of warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.08
2935.081,Peace officer to administer oath or take acknowledgment,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.081
2935.09,Person having knowledge of offense to file affidavit - official review before complaint filed,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.09
2935.10,Filing of affidavit or complaint procedure,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.10
2935.11,Failure to appear in response to summons,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.11
2935.12,"Nonconsensual, forcible entry",Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.12
2935.13,Proceedings upon arrest pursuant to warrant,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.13
2935.14,Right to communicate with counsel,Criminal Defense,P2,https://codes.ohio.gov/ohio-revised-code/section-2935.14
