section,title,practice_areas_pipe,priority,official_url
2903.216,Illegal use of a tracking device or application,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.216
2903.22,Menacing,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.22
2903.31,Hazing,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.31
2903.311,Reckless failure to immediately report knowledge of hazing,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.311
2903.32,Female genital mutilation,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.32
2903.33,Patient abuse and neglect in care facilities definitions,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.33
2903.34,Patient abuse or neglect,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.34
2903.341,Patient endangerment,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.341
2903.35,Filing false patient abuse or neglect complaints,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.35
2903.36,Whistleblower protection,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.36
2903.37,License revocation upon conviction,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.37
2903.41,Definitions related to violent offender database,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.41
2903.42,Enrollment in violent offender database; presumption,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.42
2903.421,Qualifying out-of-state offenders,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.421
2903.43,Offenders who have VOD duties; enrollment,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.43
2903.44,Out-of-state offenders with VOD duties; enrollment,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2903.44
2905.01,Kidnapping,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.01
2905.02,Abduction,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.02
2905.03,Unlawful restraint,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.03
2905.05,Criminal child enticement,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.05
