section,orc_dash,title,ui_label,url_slug,official_url,priority,practice_areas_pipe,keywords_pipe
2925.64,2925-64,Immunity for administering epinephrine,ORC 2925.64: Immunity for administering epinephrine,immunity-for-administering-epinephrine-orc-2925-64,https://codes.ohio.gov/ohio-revised-code/section-2925.64,P1,Criminal Defense | Drug Crimes,Immunity for administering epinephrine ohio | orc 2925.64 | drug possession ohio | drug trafficking ohio
2927.01,2927-01,Abuse of a corpse,ORC 2927.01: Abuse of a corpse,abuse-of-a-corpse-orc-2927-01,https://codes.ohio.gov/ohio-revised-code/section-2927.01,P1,Criminal Defense,Abuse of a corpse ohio | orc 2927.01
2927.02,2927-02,Illegal distribution of or permitting children to use cigarettes or other tobacco or alternative nicotine products,ORC 2927.02: Illegal distribution of or permitting children to use cigarettes or other tobacco or alternative nicotine products,illegal-distribution-of-or-permitting-children-to-use-cigarettes-or-other-tobacco-or-alternative-nicotine-products-orc-2927-02,https://codes.ohio.gov/ohio-revised-code/section-2927.02,P1,Criminal Defense,Illegal distribution of or permitting children to use cigarettes or other tobacco or alternative nicotine products ohio | orc 2927.02
2927.021,2927-021,Engaging in illegal tobacco or alternative nicotine product transaction scan,ORC 2927.021: Engaging in illegal tobacco or alternative nicotine product transaction scan,engaging-in-illegal-tobacco-or-alternative-nicotine-product-transaction-scan-orc-2927-021,https://codes.ohio.gov/ohio-revised-code/section-2927.021,P1,Criminal Defense,Engaging in illegal tobacco or alternative nicotine product transaction scan ohio | orc 2927.021
2927.022,2927-022,"Affirmative defense to cigarette, tobacco or alternative nicotine product charge","ORC 2927.022: Affirmative defense to cigarette, tobacco or alternative nicotine product charge",affirmative-defense-to-cigarette-tobacco-or-alternative-nicotine-product-charge-orc-2927-022,https://codes.ohio.gov/ohio-revised-code/section-2927.022,P1,Criminal Defense,"Affirmative defense to cigarette, tobacco or alternative nicotine product charge ohio | orc 2927.022"
2927.023,2927-023,Unlawful transportation of tobacco products,ORC 2927.023: Unlawful transportation of tobacco products,unlawful-transportation-of-tobacco-products-orc-2927-023,https://codes.ohio.gov/ohio-revised-code/section-2927.023,P1,Criminal Defense,Unlawful transportation of tobacco products ohio | orc 2927.023
2927.024,2927-024,Furnishing false information; penalty,ORC 2927.024: Furnishing false information; penalty,furnishing-false-information-penalty-orc-2927-024,https://codes.ohio.gov/ohio-revised-code/section-2927.024,P1,Criminal Defense,Furnishing false information; penalty ohio | orc 2927.024
2927.03,2927-03,"Injure, intimidate, or interfere with fair housing rights","ORC 2927.03: Injure, intimidate, or interfere with fair housing rights",injure-intimidate-or-interfere-with-fair-housing-rights-orc-2927-03,https://codes.ohio.gov/ohio-revised-code/section-2927.03,P1,Criminal Defense,"Injure, intimidate, or interfere with fair housing rights ohio | orc 2927.03"
2927.11,2927-11,Desecration,ORC 2927.11: Desecration,desecration-orc-2927-11,https://codes.ohio.gov/ohio-revised-code/section-2927.11,P1,Criminal Defense,Desecration ohio | orc 2927.11
2927.12,2927-12,Ethnic intimidation,ORC 2927.12: Ethnic intimidation,ethnic-intimidation-orc-2927-12,https://codes.ohio.gov/ohio-revised-code/section-2927.12,P1,Criminal Defense,Ethnic intimidation ohio | orc 2927.12
2927.13,2927-13,Selling or donating contaminated blood,ORC 2927.13: Selling or donating contaminated blood,selling-or-donating-contaminated-blood-orc-2927-13,https://codes.ohio.gov/ohio-revised-code/section-2927.13,P1,Criminal Defense,Selling or donating contaminated blood ohio | orc 2927.13
2927.15,2927-15,Privilege or consent to collect bodily substance,ORC 2927.15: Privilege or consent to collect bodily substance,privilege-or-consent-to-collect-bodily-substance-orc-2927-15,https://codes.ohio.gov/ohio-revised-code/section-2927.15,P1,Criminal Defense,Privilege or consent to collect bodily substance ohio | orc 2927.15
2927.17,2927-17,Advertising of massage services,ORC 2927.17: Advertising of massage services,advertising-of-massage-services-orc-2927-17,https://codes.ohio.gov/ohio-revised-code/section-2927.17,P1,Criminal Defense,Advertising of massage services ohio | orc 2927.17
2927.21,2927-21,Receiving proceeds of an offense subject to forfeiture proceedings,ORC 2927.21: Receiving proceeds of an offense subject to forfeiture proceedings,receiving-proceeds-of-an-offense-subject-to-forfeiture-proceedings-orc-2927-21,https://codes.ohio.gov/ohio-revised-code/section-2927.21,P1,Criminal Defense,Receiving proceeds of an offense subject to forfeiture proceedings ohio | orc 2927.21
2927.22,2927-22,"Soliciting or accepting a fee to remove, correct, modify, or refrain from publishing criminal record information; violation","ORC 2927.22: Soliciting or accepting a fee to remove, correct, modify, or refrain from publishing criminal record information; violation",soliciting-or-accepting-a-fee-to-remove-correct-modify-or-refrain-from-publishing-criminal-record-information-violation-orc-2927-22,https://codes.ohio.gov/ohio-revised-code/section-2927.22,P1,Criminal Defense,"Soliciting or accepting a fee to remove, correct, modify, or refrain from publishing criminal record information; violation ohio | orc 2927.22"
2927.24,2927-24,"Contaminating substance for human consumption or use or contamination with hazardous chemical, biological, or radioactive substance - spreading false report of contamination","ORC 2927.24: Contaminating substance for human consumption or use or contamination with hazardous chemical, biological, or radioactive substance - spreading false report of contamination",contaminating-substance-for-human-consumption-or-use-or-contamination-with-hazardous-chemical-biological-or-radioactive-substance-spreading-false-report-of-contamination-orc-2927-24,https://codes.ohio.gov/ohio-revised-code/section-2927.24,P1,Criminal Defense,"Contaminating substance for human consumption or use or contamination with hazardous chemical, biological, or radioactive substance - spreading false report of contamination ohio | orc 2927.24"
2927.27,2927-27,Illegal bail bond agent practices,ORC 2927.27: Illegal bail bond agent practices,illegal-bail-bond-agent-practices-orc-2927-27,https://codes.ohio.gov/ohio-revised-code/section-2927.27,P1,Criminal Defense,Illegal bail bond agent practices ohio | orc 2927.27
2929.01,2929-01,Penalties and sentencing general definitions,ORC 2929.01: Penalties and sentencing general definitions,penalties-and-sentencing-general-definitions-orc-2929-01,https://codes.ohio.gov/ohio-revised-code/section-2929.01,P2,Criminal Defense,Penalties and sentencing general definitions ohio | orc 2929.01
2929.02,2929-02,Murder penalties,ORC 2929.02: Murder penalties,murder-penalties-orc-2929-02,https://codes.ohio.gov/ohio-revised-code/section-2929.02,P2,Criminal Defense,Murder penalties ohio | orc 2929.02
2929.021,2929-021,Notice to supreme court of indictment charging aggravated murder with aggravating circumstances,ORC 2929.021: Notice to supreme court of indictment charging aggravated murder with aggravating circumstances,notice-to-supreme-court-of-indictment-charging-aggravated-murder-with-aggravating-circumstances-orc-2929-021,https://codes.ohio.gov/ohio-revised-code/section-2929.021,P2,Criminal Defense,Notice to supreme court of indictment charging aggravated murder with aggravating circumstances ohio | orc 2929.021
2929.022,2929-022,Sentencing hearing - determining existence of aggravating circumstance,ORC 2929.022: Sentencing hearing - determining existence of aggravating circumstance,sentencing-hearing-determining-existence-of-aggravating-circumstance-orc-2929-022,https://codes.ohio.gov/ohio-revised-code/section-2929.022,P2,Criminal Defense,Sentencing hearing - determining existence of aggravating circumstance ohio | orc 2929.022
2929.023,2929-023,Raising the matter of age at trial,ORC 2929.023: Raising the matter of age at trial,raising-the-matter-of-age-at-trial-orc-2929-023,https://codes.ohio.gov/ohio-revised-code/section-2929.023,P2,Criminal Defense,Raising the matter of age at trial ohio | orc 2929.023
2929.024,2929-024,Investigation services and experts for indigent defendant,ORC 2929.024: Investigation services and experts for indigent defendant,investigation-services-and-experts-for-indigent-defendant-orc-2929-024,https://codes.ohio.gov/ohio-revised-code/section-2929.024,P2,Criminal Defense,Investigation services and experts for indigent defendant ohio | orc 2929.024
2929.025,2929-025,Sentencing for aggravated murder when offender had serious mental illness at time of offense,ORC 2929.025: Sentencing for aggravated murder when offender had serious mental illness at time of offense,sentencing-for-aggravated-murder-when-offender-had-serious-mental-illness-at-time-of-offense-orc-2929-025,https://codes.ohio.gov/ohio-revised-code/section-2929.025,P2,Criminal Defense,Sentencing for aggravated murder when offender had serious mental illness at time of offense ohio | orc 2929.025
2929.03,2929-03,Imposition of sentence for aggravated murder,ORC 2929.03: Imposition of sentence for aggravated murder,imposition-of-sentence-for-aggravated-murder-orc-2929-03,https://codes.ohio.gov/ohio-revised-code/section-2929.03,P2,Criminal Defense,Imposition of sentence for aggravated murder ohio | orc 2929.03
2929.04,2929-04,Death penalty or imprisonment - aggravating and mitigating factors,ORC 2929.04: Death penalty or imprisonment - aggravating and mitigating factors,death-penalty-or-imprisonment-aggravating-and-mitigating-factors-orc-2929-04,https://codes.ohio.gov/ohio-revised-code/section-2929.04,P2,Criminal Defense,Death penalty or imprisonment - aggravating and mitigating factors ohio | orc 2929.04
2929.05,2929-05,Supreme court review upon appeal of sentence of death,ORC 2929.05: Supreme court review upon appeal of sentence of death,supreme-court-review-upon-appeal-of-sentence-of-death-orc-2929-05,https://codes.ohio.gov/ohio-revised-code/section-2929.05,P2,Criminal Defense,Supreme court review upon appeal of sentence of death ohio | orc 2929.05
2929.06,2929-06,Resentencing hearing,ORC 2929.06: Resentencing hearing,resentencing-hearing-orc-2929-06,https://codes.ohio.gov/ohio-revised-code/section-2929.06,P2,Criminal Defense,Resentencing hearing ohio | orc 2929.06
2929.07,2929-07,No sentence of life imprisonment without parole for offense committed when a minor,ORC 2929.07: No sentence of life imprisonment without parole for offense committed when a minor,no-sentence-of-life-imprisonment-without-parole-for-offense-committed-when-a-minor-orc-2929-07,https://codes.ohio.gov/ohio-revised-code/section-2929.07,P2,Criminal Defense,No sentence of life imprisonment without parole for offense committed when a minor ohio | orc 2929.07
2929.11,2929-11,Purposes of felony sentencing,ORC 2929.11: Purposes of felony sentencing,purposes-of-felony-sentencing-orc-2929-11,https://codes.ohio.gov/ohio-revised-code/section-2929.11,P2,Criminal Defense,Purposes of felony sentencing ohio | orc 2929.11
2929.12,2929-12,Seriousness of crime and recidivism factors,ORC 2929.12: Seriousness of crime and recidivism factors,seriousness-of-crime-and-recidivism-factors-orc-2929-12,https://codes.ohio.gov/ohio-revised-code/section-2929.12,P2,Criminal Defense,Seriousness of crime and recidivism factors ohio | orc 2929.12
2929.13,2929-13,Sanction imposed by degree of felony,ORC 2929.13: Sanction imposed by degree of felony,sanction-imposed-by-degree-of-felony-orc-2929-13,https://codes.ohio.gov/ohio-revised-code/section-2929.13,P2,Criminal Defense,Sanction imposed by degree of felony ohio | orc 2929.13
2929.14,2929-14,Definite prison terms,ORC 2929.14: Definite prison terms,definite-prison-terms-orc-2929-14,https://codes.ohio.gov/ohio-revised-code/section-2929.14,P2,Criminal Defense,Definite prison terms ohio | orc 2929.14
2929.141,2929-141,Person on release committing a felony,ORC 2929.141: Person on release committing a felony,person-on-release-committing-a-felony-orc-2929-141,https://codes.ohio.gov/ohio-revised-code/section-2929.141,P2,Criminal Defense,Person on release committing a felony ohio | orc 2929.141
2929.142,2929-142,Aggravated vehicular homicide - mandatory prison term,ORC 2929.142: Aggravated vehicular homicide - mandatory prison term,aggravated-vehicular-homicide-mandatory-prison-term-orc-2929-142,https://codes.ohio.gov/ohio-revised-code/section-2929.142,P2,Criminal Defense,Aggravated vehicular homicide - mandatory prison term ohio | orc 2929.142
2929.143,2929-143,Risk reduction sentences,ORC 2929.143: Risk reduction sentences,risk-reduction-sentences-orc-2929-143,https://codes.ohio.gov/ohio-revised-code/section-2929.143,P2,Criminal Defense,Risk reduction sentences ohio | orc 2929.143
2929.144,2929-144,Determination of maximum prison term for qualifying felonies of the first or second degree,ORC 2929.144: Determination of maximum prison term for qualifying felonies of the first or second degree,determination-of-maximum-prison-term-for-qualifying-felonies-of-the-first-or-second-degree-orc-2929-144,https://codes.ohio.gov/ohio-revised-code/section-2929.144,P2,Criminal Defense,Determination of maximum prison term for qualifying felonies of the first or second degree ohio | orc 2929.144
2929.15,2929-15,Community control sanctions; felony,ORC 2929.15: Community control sanctions; felony,community-control-sanctions-felony-orc-2929-15,https://codes.ohio.gov/ohio-revised-code/section-2929.15,P2,Criminal Defense,Community control sanctions; felony ohio | orc 2929.15
2929.16,2929-16,Community residential sanctions - felony,ORC 2929.16: Community residential sanctions - felony,community-residential-sanctions-felony-orc-2929-16,https://codes.ohio.gov/ohio-revised-code/section-2929.16,P2,Criminal Defense,Community residential sanctions - felony ohio | orc 2929.16
2929.17,2929-17,Nonresidential sanctions - felony,ORC 2929.17: Nonresidential sanctions - felony,nonresidential-sanctions-felony-orc-2929-17,https://codes.ohio.gov/ohio-revised-code/section-2929.17,P2,Criminal Defense,Nonresidential sanctions - felony ohio | orc 2929.17
2929.18,2929-18,Financial sanctions - felony,ORC 2929.18: Financial sanctions - felony,financial-sanctions-felony-orc-2929-18,https://codes.ohio.gov/ohio-revised-code/section-2929.18,P2,Criminal Defense,Financial sanctions - felony ohio | orc 2929.18
2929.19,2929-19,Sentencing hearing,ORC 2929.19: Sentencing hearing,sentencing-hearing-orc-2929-19,https://codes.ohio.gov/ohio-revised-code/section-2929.19,P2,Criminal Defense,Sentencing hearing ohio | orc 2929.19
2929.191,2929-191,Correction of judgment of conviction to include supervision information,ORC 2929.191: Correction of judgment of conviction to include supervision information,correction-of-judgment-of-conviction-to-include-supervision-information-orc-2929-191,https://codes.ohio.gov/ohio-revised-code/section-2929.191,P2,Criminal Defense,Correction of judgment of conviction to include supervision information ohio | orc 2929.191
2929.192,2929-192,Forfeiture of retirement benefits on conviction,ORC 2929.192: Forfeiture of retirement benefits on conviction,forfeiture-of-retirement-benefits-on-conviction-orc-2929-192,https://codes.ohio.gov/ohio-revised-code/section-2929.192,P2,Criminal Defense,Forfeiture of retirement benefits on conviction ohio | orc 2929.192
2929.193,2929-193,"Offenses while serving in a position of honor, trust, or profit; hearing; recovery of benefits","ORC 2929.193: Offenses while serving in a position of honor, trust, or profit; hearing; recovery of benefits",offenses-while-serving-in-a-position-of-honor-trust-or-profit-hearing-recovery-of-benefits-orc-2929-193,https://codes.ohio.gov/ohio-revised-code/section-2929.193,P2,Criminal Defense,"Offenses while serving in a position of honor, trust, or profit; hearing; recovery of benefits ohio | orc 2929.193"
2929.194,2929-194,Offenders under physical or mental disability; forfeiture,ORC 2929.194: Offenders under physical or mental disability; forfeiture,offenders-under-physical-or-mental-disability-forfeiture-orc-2929-194,https://codes.ohio.gov/ohio-revised-code/section-2929.194,P2,Criminal Defense,Offenders under physical or mental disability; forfeiture ohio | orc 2929.194
2929.20,2929-20,Sentence reduction through judicial release,ORC 2929.20: Sentence reduction through judicial release,sentence-reduction-through-judicial-release-orc-2929-20,https://codes.ohio.gov/ohio-revised-code/section-2929.20,P2,Criminal Defense,Sentence reduction through judicial release ohio | orc 2929.20
2929.201,2929-201,Application for shock probation,ORC 2929.201: Application for shock probation,application-for-shock-probation-orc-2929-201,https://codes.ohio.gov/ohio-revised-code/section-2929.201,P2,Criminal Defense,Application for shock probation ohio | orc 2929.201
2929.21,2929-21,Purposes of misdemeanor sentencing,ORC 2929.21: Purposes of misdemeanor sentencing,purposes-of-misdemeanor-sentencing-orc-2929-21,https://codes.ohio.gov/ohio-revised-code/section-2929.21,P2,Criminal Defense,Purposes of misdemeanor sentencing ohio | orc 2929.21
2929.22,2929-22,Determining appropriate sentence for misdemeanors,ORC 2929.22: Determining appropriate sentence for misdemeanors,determining-appropriate-sentence-for-misdemeanors-orc-2929-22,https://codes.ohio.gov/ohio-revised-code/section-2929.22,P2,Criminal Defense,Determining appropriate sentence for misdemeanors ohio | orc 2929.22
2929.23,2929-23,Sentence for sexually oriented misdemeanor committed on or after 1-1-97,ORC 2929.23: Sentence for sexually oriented misdemeanor committed on or after 1-1-97,sentence-for-sexually-oriented-misdemeanor-committed-on-or-after-1-1-97-orc-2929-23,https://codes.ohio.gov/ohio-revised-code/section-2929.23,P2,Criminal Defense,Sentence for sexually oriented misdemeanor committed on or after 1-1-97 ohio | orc 2929.23
2929.24,2929-24,Definite jail terms for misdemeanors,ORC 2929.24: Definite jail terms for misdemeanors,definite-jail-terms-for-misdemeanors-orc-2929-24,https://codes.ohio.gov/ohio-revised-code/section-2929.24,P2,Criminal Defense,Definite jail terms for misdemeanors ohio | orc 2929.24
2929.25,2929-25,Community control sanctions - misdemeanor,ORC 2929.25: Community control sanctions - misdemeanor,community-control-sanctions-misdemeanor-orc-2929-25,https://codes.ohio.gov/ohio-revised-code/section-2929.25,P2,Criminal Defense,Community control sanctions - misdemeanor ohio | orc 2929.25
2929.26,2929-26,Community residential sanctions - misdemeanor,ORC 2929.26: Community residential sanctions - misdemeanor,community-residential-sanctions-misdemeanor-orc-2929-26,https://codes.ohio.gov/ohio-revised-code/section-2929.26,P2,Criminal Defense,Community residential sanctions - misdemeanor ohio | orc 2929.26
2929.27,2929-27,Nonresidential sanctions - misdemeanor,ORC 2929.27: Nonresidential sanctions - misdemeanor,nonresidential-sanctions-misdemeanor-orc-2929-27,https://codes.ohio.gov/ohio-revised-code/section-2929.27,P2,Criminal Defense,Nonresidential sanctions - misdemeanor ohio | orc 2929.27
2929.28,2929-28,Financial sanctions - misdemeanor,ORC 2929.28: Financial sanctions - misdemeanor,financial-sanctions-misdemeanor-orc-2929-28,https://codes.ohio.gov/ohio-revised-code/section-2929.28,P2,Criminal Defense,Financial sanctions - misdemeanor ohio | orc 2929.28
2929.281,2929-281,Restitution,ORC 2929.281: Restitution,restitution-orc-2929-281,https://codes.ohio.gov/ohio-revised-code/section-2929.281,P2,Criminal Defense,Restitution ohio | orc 2929.281
2929.31,2929-31,Fines for organizations by degree of offense,ORC 2929.31: Fines for organizations by degree of offense,fines-for-organizations-by-degree-of-offense-orc-2929-31,https://codes.ohio.gov/ohio-revised-code/section-2929.31,P2,Criminal Defense,Fines for organizations by degree of offense ohio | orc 2929.31
2929.32,2929-32,Additional fines for certain offenses,ORC 2929.32: Additional fines for certain offenses,additional-fines-for-certain-offenses-orc-2929-32,https://codes.ohio.gov/ohio-revised-code/section-2929.32,P2,Criminal Defense,Additional fines for certain offenses ohio | orc 2929.32
2929.33,2929-33,Driver's license suspension for drug offenses,ORC 2929.33: Driver's license suspension for drug offenses,driver-s-license-suspension-for-drug-offenses-orc-2929-33,https://codes.ohio.gov/ohio-revised-code/section-2929.33,P2,Criminal Defense,Driver's license suspension for drug offenses ohio | orc 2929.33
2929.34,2929-34,Where imprisonment to be served,ORC 2929.34: Where imprisonment to be served,where-imprisonment-to-be-served-orc-2929-34,https://codes.ohio.gov/ohio-revised-code/section-2929.34,P2,Criminal Defense,Where imprisonment to be served ohio | orc 2929.34
2929.36,2929-36,Confinement costs definitions,ORC 2929.36: Confinement costs definitions,confinement-costs-definitions-orc-2929-36,https://codes.ohio.gov/ohio-revised-code/section-2929.36,P2,Criminal Defense,Confinement costs definitions ohio | orc 2929.36
2929.37,2929-37,Confinement cost policy,ORC 2929.37: Confinement cost policy,confinement-cost-policy-orc-2929-37,https://codes.ohio.gov/ohio-revised-code/section-2929.37,P2,Criminal Defense,Confinement cost policy ohio | orc 2929.37
2929.38,2929-38,Reception and other fees,ORC 2929.38: Reception and other fees,reception-and-other-fees-orc-2929-38,https://codes.ohio.gov/ohio-revised-code/section-2929.38,P2,Criminal Defense,Reception and other fees ohio | orc 2929.38
2929.41,2929-41,Concurrent and consecutive sentences,ORC 2929.41: Concurrent and consecutive sentences,concurrent-and-consecutive-sentences-orc-2929-41,https://codes.ohio.gov/ohio-revised-code/section-2929.41,P2,Criminal Defense,Concurrent and consecutive sentences ohio | orc 2929.41
2929.42,2929-42,Notice of conviction sent to licensing board,ORC 2929.42: Notice of conviction sent to licensing board,notice-of-conviction-sent-to-licensing-board-orc-2929-42,https://codes.ohio.gov/ohio-revised-code/section-2929.42,P2,Criminal Defense,Notice of conviction sent to licensing board ohio | orc 2929.42
2929.43,2929-43,Procedure for accepting peace officer's guilty plea to felony or after conviction; negotiated misdemeanor pleas,ORC 2929.43: Procedure for accepting peace officer's guilty plea to felony or after conviction; negotiated misdemeanor pleas,procedure-for-accepting-peace-officer-s-guilty-plea-to-felony-or-after-conviction-negotiated-misdemeanor-pleas-orc-2929-43,https://codes.ohio.gov/ohio-revised-code/section-2929.43,P2,Criminal Defense,Procedure for accepting peace officer's guilty plea to felony or after conviction; negotiated misdemeanor pleas ohio | orc 2929.43
2929.44,2929-44,Court-ordered to receive mental health evaluations; reports to local law enforcement agencies,ORC 2929.44: Court-ordered to receive mental health evaluations; reports to local law enforcement agencies,court-ordered-to-receive-mental-health-evaluations-reports-to-local-law-enforcement-agencies-orc-2929-44,https://codes.ohio.gov/ohio-revised-code/section-2929.44,P2,Criminal Defense,Court-ordered to receive mental health evaluations; reports to local law enforcement agencies ohio | orc 2929.44
2929.61,2929-61,Sentencing under prior law,ORC 2929.61: Sentencing under prior law,sentencing-under-prior-law-orc-2929-61,https://codes.ohio.gov/ohio-revised-code/section-2929.61,P2,Criminal Defense,Sentencing under prior law ohio | orc 2929.61
2929.71,2929-71,Reimbursement of investigative costs of arson,ORC 2929.71: Reimbursement of investigative costs of arson,reimbursement-of-investigative-costs-of-arson-orc-2929-71,https://codes.ohio.gov/ohio-revised-code/section-2929.71,P2,Criminal Defense,Reimbursement of investigative costs of arson ohio | orc 2929.71
2930.01,2930-01,Definitions,ORC 2930.01: Definitions,definitions-orc-2930-01,https://codes.ohio.gov/ohio-revised-code/section-2930.01,P2,Criminal Defense,Definitions ohio | orc 2930.01
2930.011,2930-011,Constitutional rights of crime victims,ORC 2930.011: Constitutional rights of crime victims,constitutional-rights-of-crime-victims-orc-2930-011,https://codes.ohio.gov/ohio-revised-code/section-2930.011,P2,Criminal Defense,Constitutional rights of crime victims ohio | orc 2930.011
2930.02,2930-02,Victim's representative,ORC 2930.02: Victim's representative,victim-s-representative-orc-2930-02,https://codes.ohio.gov/ohio-revised-code/section-2930.02,P2,Criminal Defense,Victim's representative ohio | orc 2930.02
2930.03,2930-03,Methods of giving notice,ORC 2930.03: Methods of giving notice,methods-of-giving-notice-orc-2930-03,https://codes.ohio.gov/ohio-revised-code/section-2930.03,P2,Criminal Defense,Methods of giving notice ohio | orc 2930.03
2930.04,2930-04,Information provided to victim by law enforcement agency,ORC 2930.04: Information provided to victim by law enforcement agency,information-provided-to-victim-by-law-enforcement-agency-orc-2930-04,https://codes.ohio.gov/ohio-revised-code/section-2930.04,P2,Criminal Defense,Information provided to victim by law enforcement agency ohio | orc 2930.04 | dui
2930.041,2930-041,Victim right to interpreter,ORC 2930.041: Victim right to interpreter,victim-right-to-interpreter-orc-2930-041,https://codes.ohio.gov/ohio-revised-code/section-2930.041,P2,Criminal Defense,Victim right to interpreter ohio | orc 2930.041
2930.042,2930-042,Notice for inactive cases,ORC 2930.042: Notice for inactive cases,notice-for-inactive-cases-orc-2930-042,https://codes.ohio.gov/ohio-revised-code/section-2930.042,P2,Criminal Defense,Notice for inactive cases ohio | orc 2930.042
2930.044,2930-044,Self identification by victim,ORC 2930.044: Self identification by victim,self-identification-by-victim-orc-2930-044,https://codes.ohio.gov/ohio-revised-code/section-2930.044,P2,Criminal Defense,Self identification by victim ohio | orc 2930.044
2930.05,2930-05,Notice of arrest or detention of offender,ORC 2930.05: Notice of arrest or detention of offender,notice-of-arrest-or-detention-of-offender-orc-2930-05,https://codes.ohio.gov/ohio-revised-code/section-2930.05,P2,Criminal Defense,Notice of arrest or detention of offender ohio | orc 2930.05
2930.051,2930-051,Custodial agency notification of law enforcement agency,ORC 2930.051: Custodial agency notification of law enforcement agency,custodial-agency-notification-of-law-enforcement-agency-orc-2930-051,https://codes.ohio.gov/ohio-revised-code/section-2930.051,P2,Criminal Defense,Custodial agency notification of law enforcement agency ohio | orc 2930.051
2930.06,2930-06,Prosecutor to confer with victim - court to give notice of proceedings to victim,ORC 2930.06: Prosecutor to confer with victim - court to give notice of proceedings to victim,prosecutor-to-confer-with-victim-court-to-give-notice-of-proceedings-to-victim-orc-2930-06,https://codes.ohio.gov/ohio-revised-code/section-2930.06,P2,Criminal Defense,Prosecutor to confer with victim - court to give notice of proceedings to victim ohio | orc 2930.06
2930.061,2930-061,Notice of charges to department of developmental disabilities,ORC 2930.061: Notice of charges to department of developmental disabilities,notice-of-charges-to-department-of-developmental-disabilities-orc-2930-061,https://codes.ohio.gov/ohio-revised-code/section-2930.061,P2,Criminal Defense,Notice of charges to department of developmental disabilities ohio | orc 2930.061
2930.062,2930-062,Notification of victim's injuries,ORC 2930.062: Notification of victim's injuries,notification-of-victim-s-injuries-orc-2930-062,https://codes.ohio.gov/ohio-revised-code/section-2930.062,P2,Criminal Defense,Notification of victim's injuries ohio | orc 2930.062
2930.063,2930-063,Copies of case documents,ORC 2930.063: Copies of case documents,copies-of-case-documents-orc-2930-063,https://codes.ohio.gov/ohio-revised-code/section-2930.063,P2,Criminal Defense,Copies of case documents ohio | orc 2930.063
2930.07,2930-07,Privacy of victim's information,ORC 2930.07: Privacy of victim's information,privacy-of-victim-s-information-orc-2930-07,https://codes.ohio.gov/ohio-revised-code/section-2930.07,P2,Criminal Defense,Privacy of victim's information ohio | orc 2930.07
2930.072,2930-072,Victim interviews,ORC 2930.072: Victim interviews,victim-interviews-orc-2930-072,https://codes.ohio.gov/ohio-revised-code/section-2930.072,P2,Criminal Defense,Victim interviews ohio | orc 2930.072
2930.08,2930-08,Notification of substantial delay in prosecution; victim objection to delay,ORC 2930.08: Notification of substantial delay in prosecution; victim objection to delay,notification-of-substantial-delay-in-prosecution-victim-objection-to-delay-orc-2930-08,https://codes.ohio.gov/ohio-revised-code/section-2930.08,P2,Criminal Defense,Notification of substantial delay in prosecution; victim objection to delay ohio | orc 2930.08
2930.09,2930-09,Victim's presence at trial,ORC 2930.09: Victim's presence at trial,victim-s-presence-at-trial-orc-2930-09,https://codes.ohio.gov/ohio-revised-code/section-2930.09,P2,Criminal Defense,Victim's presence at trial ohio | orc 2930.09
2930.10,2930-10,Minimizing contact between victim and defendant - separate waiting areas,ORC 2930.10: Minimizing contact between victim and defendant - separate waiting areas,minimizing-contact-between-victim-and-defendant-separate-waiting-areas-orc-2930-10,https://codes.ohio.gov/ohio-revised-code/section-2930.10,P2,Criminal Defense,Minimizing contact between victim and defendant - separate waiting areas ohio | orc 2930.10
2930.11,2930-11,Returning or retaining victim's property,ORC 2930.11: Returning or retaining victim's property,returning-or-retaining-victim-s-property-orc-2930-11,https://codes.ohio.gov/ohio-revised-code/section-2930.11,P2,Criminal Defense,Returning or retaining victim's property ohio | orc 2930.11
2930.12,2930-12,Notice of the defendant's acquittal or conviction,ORC 2930.12: Notice of the defendant's acquittal or conviction,notice-of-the-defendant-s-acquittal-or-conviction-orc-2930-12,https://codes.ohio.gov/ohio-revised-code/section-2930.12,P2,Criminal Defense,Notice of the defendant's acquittal or conviction ohio | orc 2930.12
2930.121,2930-121,Victims rights on dismissed counts,ORC 2930.121: Victims rights on dismissed counts,victims-rights-on-dismissed-counts-orc-2930-121,https://codes.ohio.gov/ohio-revised-code/section-2930.121,P2,Criminal Defense,Victims rights on dismissed counts ohio | orc 2930.121
2930.13,2930-13,Victim impact statement,ORC 2930.13: Victim impact statement,victim-impact-statement-orc-2930-13,https://codes.ohio.gov/ohio-revised-code/section-2930.13,P2,Criminal Defense,Victim impact statement ohio | orc 2930.13
2930.131,2930-131,Presentence investigation report copies,ORC 2930.131: Presentence investigation report copies,presentence-investigation-report-copies-orc-2930-131,https://codes.ohio.gov/ohio-revised-code/section-2930.131,P2,Criminal Defense,Presentence investigation report copies ohio | orc 2930.131
2930.14,2930-14,Victim's statement,ORC 2930.14: Victim's statement,victim-s-statement-orc-2930-14,https://codes.ohio.gov/ohio-revised-code/section-2930.14,P2,Criminal Defense,Victim's statement ohio | orc 2930.14
2930.15,2930-15,Notice of appeal,ORC 2930.15: Notice of appeal,notice-of-appeal-orc-2930-15,https://codes.ohio.gov/ohio-revised-code/section-2930.15,P2,Criminal Defense,Notice of appeal ohio | orc 2930.15
